imdb_id,movie_title
tt0114709,Toy Story
tt0113497,Jumanji
tt0113228,Grumpier Old Men
tt0114885,Waiting to Exhale
tt0113041,Father of the Bride Part II
tt0113277,Heat
tt0114319,Sabrina
tt0112302,Tom and Huck
tt0114576,Sudden Death
tt0113189,GoldenEye
tt0112346,The American President
tt0112896,Dracula: Dead and Loving It
tt0112453,Balto
tt0113987,Nixon
tt0112760,Cutthroat Island
tt0112641,Casino
tt0114388,Sense and Sensibility
tt0113101,Four Rooms
tt0112281,Ace Ventura: When Nature Calls
tt0113845,Money Train
tt0113161,Get Shorty
tt0112722,Copycat
tt0112401,Assassins
tt0114168,Powder
tt0113627,Leaving Las Vegas
tt0114057,Othello
tt0114011,Now and Then
tt0114117,Persuasion
tt0112682,The City of Lost Children
tt0115012,Shanghai Triad
tt0112792,Dangerous Minds
tt0114746,Twelve Monkeys
tt0114952,Wings of Courage
tt0112431,Babe
tt0112637,Carrington
tt0112818,Dead Man Walking
tt0112286,Across the Sea of Time
tt0113442,It Takes Two
tt0112697,Clueless
tt0112749,"Cry, the Beloved Country"
tt0114279,Richard III
tt0112819,Dead Presidents
tt0114272,Restoration
tt0113855,Mortal Kombat
tt0114681,To Die For
tt0113347,How To Make An American Quilt
tt0114369,Se7en
tt0114148,Pocahontas
tt0114916,When Night Is Falling
tt0114814,The Usual Suspects
tt0109950,Guardian Angel
tt0113819,Mighty Aphrodite
tt0110299,Lamerica
tt0112499,The Big Green
tt0113158,Georgia
tt0113541,Kids of the Round Table
tt0113321,Home for the Holidays
tt0110877,The Postman
tt0112714,The Confessional
tt0113419,The Indian in the Cupboard
tt0116260,Eye for an Eye
tt0113862,Mr. Holland's Opus
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
tt0118002,Two If by Sea
tt0115683,Bio-Dome
tt0116839,Lawnmower Man 2: Beyond Cyberspace
tt0114753,Two Bits
tt0113149,French Twist
tt0113118,Friday
tt0116367,From Dusk Till Dawn
tt0113010,Fair Game
tt0113537,Kicking and Screaming
tt0113828,Les Miserables
tt0115644,Bed of Roses
tt0115676,Big Bully
tt0114367,Screamers
tt0113973,Nico Icon
tt0112744,The Crossing Guard
tt0116731,The Juror
tt0112445,The White Balloon
tt0114660,Things to Do in Denver When You're Dead
tt0112379,Antonia's Line
tt0114039,Once Upon a Time... When We Were Colored
tt0113612,Last Summer in the Hamptons
tt0112365,Angels and Insects
tt0118158,White Squall
tt0116151,Dunston Checks In
tt0115697,Black Sheep
tt0113972,Nick of Time
tt0113490,The Journey of August King
tt0117002,Mary Reilly
tt0114825,Vampire in Brooklyn
tt0115639,Beautiful Girls
tt0115759,Broken Arrow
tt0113403,A Midwinter's Tale
tt0113247,La Haine
tt0111173,Shopping
tt0113283,Heidi Fleiss: Hollywood Madam
tt0115907,City Hall
tt0115734,Bottle Rocket
tt0117102,Mr. Wrong
tt0118040,Unforgettable
tt0116483,Happy Gilmore
tt0112579,The Bridges of Madison County
tt0110251,Nobody Loves Me
tt0117110,Muppet Treasure Island
tt0112646,Catwalk
tt0113276,Headless Body in Topless Bar
tt0112573,Braveheart
tt0075314,Taxi Driver
tt0113326,Rumble in the Bronx
tt0115645,Before and After
tt0113774,Margaret's Museum
tt0112556,Happiness Is in the Field
tt0112373,Anne Frank Remembered
tt0115033,The Young Poisoner's Handbook
tt0116606,If Lucy Fell
tt0114536,Steal Big Steal Little
tt0117427,Race the Sun
tt0106473,The Boys of St. Vincent
tt0103859,Boomerang
tt0109424,Chungking Express
tt0114808,The Star Maker
tt0116324,Flirting with Disaster
tt0110647,The Neverending Story III: Escape from Fantasia
tt0111055,The Silences of the Palace
tt0110217,Jupiter's Wife
tt0114131,Pie in the Sky
tt0112364,Angela
tt0113107,Frankie Starlight
tt0113451,Jade
tt0114015,Nueba Yol
tt0114500,Sonic Outlaws
tt0116130,Down Periscope
tt0113125,From the Journals of Jean Seberg
tt0113756,Man of the Year
tt0113952,The Neon Bible
tt0114618,Target
tt0118055,Up Close & Personal
tt0115685,The Birdcage
tt0113200,Virgin Mary
tt0112585,The Brothers McMullen
tt0112442,Bad Boys
tt0112342,The Amazing Panda Adventure
tt0112461,The Basketball Diaries
tt0112427,An Awfully Big Adventure
tt0109093,Amateur
tt0112384,Apollo 13
tt0114287,Rob Roy
tt0112288,The Addiction
tt0112462,Batman Forever
tt0061395,Belle de Jour
tt0112495,Beyond Rangoon
tt0112541,Blue in the Face
tt0109370,Canadian Bacon
tt0112642,Casper
tt0112688,Clockers
tt0112715,Congo
tt0112740,Crimson Tide
tt0109508,Crumb
tt0112851,Desperado
tt0112857,Devil in a Blue Dress
tt0112864,Die Hard: With a Vengeance
tt0112887,The Doom Generation
tt0113044,Feast of July
tt0113071,First Knight
tt0113114,Free Willy 2 - The Adventure Home
tt0113243,Hackers
tt0113464,Jeffrey
tt0113481,Johnny Mnemonic
tt0113492,Judge Dredd
tt0113500,Jury Duty
tt0113540,Kids
tt0113677,Living in Oblivion
tt0113690,Lord of Illusions
tt0107447,Love & Human Remains
tt0113729,Mad Love
tt0113749,Mallrats
tt0113820,Mighty Morphin Power Rangers: The Movie
tt0113851,Moonlight and Valentino
tt0110604,Mute Witness
tt0110620,Nadja
tt0113957,The Net
tt0113986,Nine Months
tt0114095,Party Girl
tt0114194,The Prophecy
tt0114241,Reckless
tt0114323,Safe
tt0114345,The Scarlet Letter
tt0114435,The Show
tt0114436,Showgirls
tt0114478,Smoke
tt0114496,Something to Talk About
tt0114508,Species
tt0114534,The Stars Fell on Henrietta
tt0114558,Strange Days
tt0058450,The Umbrellas of Cherbourg
tt0114666,The Tie That Binds
tt0114663,Three Wishes
tt0114702,Total Eclipse
