,0
0,480
1,500
2,527
3,858
4,1092
5,1097
6,1270
7,1968
8,3101
9,4474
10,7
11,157
12,296
13,541
14,750
15,908
16,1193
17,1198
18,1201
19,1204
20,1225
21,1230
22,1254
23,1263
24,1302
25,1945
26,2163
27,2707
28,2877
29,3079
30,3114
31,3156
32,3198
33,3255
34,293
35,318
36,2571
37,2858
38,2959
39,3535
40,3948
41,4022
42,4306
43,4896
44,4993
45,5618
46,5810
47,5816
48,6377
49,6934
50,7153
51,8368
52,8533
53,8961
54,30793
55,33794
56,35836
57,39183
58,40815
59,41566
60,50872
61,51255
62,54001
63,54272
64,54503
65,55247
66,58559
67,60074
68,63082
69,68954
70,69844
71,72378
72,79132
73,80463
74,81834
75,88125
76,88129
77,88744
78,89745
79,91529
80,98809
81,99114
82,106489
83,106920
84,116797
85,122904
86,134853
87,150
88,153
89,165
90,344
91,349
92,380
93,457
94,588
95,590
96,592
97,593
98,595
99,1
100,16
101,17
102,29
103,32
104,34
105,36
106,47
107,50
108,73
109,82
110,97
111,123
112,125
113,155
114,160
115,162
116,175
117,176
118,194
119,198
120,223
121,232
122,235
123,246
124,247
125,260
126,273
127,290
128,301
129,307
130,309
131,322
132,334
133,337
134,348
135,356
136,363
137,373
138,441
139,446
140,475
141,492
142,497
143,501
144,523
145,529
146,535
147,549
148,555
149,568
150,581
151,589
152,608
153,728
154,735
155,759
156,778
157,800
158,866
159,899
160,903
161,904
162,912
163,916
164,926
165,940
166,953
167,969
168,994
169,1023
170,1036
171,1041
172,1059
173,1060
174,1079
175,1080
176,1086
177,1089
178,1111
179,1120
180,1132
181,1136
182,1147
183,1148
184,1172
185,1177
186,1184
187,1185
188,1192
189,1196
190,1197
191,1199
192,1206
193,1207
194,1208
195,1211
196,1213
197,1214
198,1216
199,1217
200,1219
201,1221
202,1224
203,1233
204,1234
205,1240
206,1242
207,1245
208,1246
209,1264
210,1273
211,1277
212,1279
213,1280
214,1285
215,1289
216,1291
217,1293
218,1299
219,1354
220,1356
221,1357
222,1358
223,1394
224,1449
225,1499
226,1517
227,1537
228,1545
229,1552
230,1584
231,1587
232,1610
233,1617
234,1625
235,1635
236,1639
237,1641
238,1643
239,1648
240,1658
241,1672
242,1673
243,1674
244,1678
245,1682
246,1683
247,1684
248,1701
249,1704
250,1719
251,1721
252,1730
253,1784
254,1794
255,1799
256,1834
257,1836
258,1883
259,1892
260,1914
261,1923
262,1952
263,1954
264,1957
265,1960
266,1961
267,1962
268,2020
269,2028
270,2064
271,2081
272,2095
273,2108
274,2136
275,2144
276,2150
277,2160
278,2174
279,2193
280,2194
281,2243
282,2248
283,2252
284,2263
285,2266
286,2268
287,2291
288,2294
289,2302
290,2312
291,2331
292,2333
293,2348
294,2355
295,2363
296,2391
297,2394
298,2416
299,2419
300,2431
301,2520
302,2542
303,2572
304,2580
305,2628
306,2657
307,2692
308,2702
309,2716
310,2739
311,2762
312,2791
313,2797
314,2840
315,2841
316,2871
317,2916
318,2985
319,2987
320,2997
321,3052
322,3077
323,3100
324,4424
325,1911
326,1965
327,2116
328,3258
329,3444
330,6957
331,33004
332,43560
333,56607
334,58047
335,6
336,107
337,135
338,362
339,531
340,599
341,733
342,745
343,838
344,1093
345,1188
346,1200
347,1209
348,1220
349,1223
350,1249
351,1261
352,1262
353,1265
354,1272
355,1278
356,1287
357,1303
358,1304
359,1321
360,1378
361,1387
362,1396
363,1408
364,1527
365,1580
366,1732
367,1831
368,1884
369,1953
370,2072
371,2300
372,2401
373,2502
374,2529
375,2728
376,2918
377,2944
378,2947
379,2951
380,3030
381,3037
382,3066
383,3112
384,3252
385,3265
386,3267
387,3275
388,3361
389,3362
390,3384
391,3481
392,3504
393,3507
394,3508
395,3527
396,3555
397,3578
398,3654
399,3671
400,3681
401,3703
402,3836
403,3868
404,3996
405,4011
406,4027
407,4262
408,4327
409,4855
410,4881
411,4886
412,4973
413,4979
414,5010
415,5060
416,5418
417,5445
418,5782
419,5899
420,5903
421,6016
422,6448
423,6502
424,6711
425,6807
426,6808
427,6874
428,6893
429,6947
430,7022
431,7076
432,7090
433,7143
434,7438
435,7445
436,7802
437,7980
438,8132
439,8169
440,8665
441,8798
442,8874
443,8949
444,26172
445,26614
446,27728
447,27831
448,27869
449,31878
450,32587
451,34405
452,36529
453,37731
454,37733
455,38038
456,38061
457,39381
458,41997
459,44191
460,44195
461,45517
462,46578
463,46976
464,48774
465,49272
466,49530
467,51662
468,53972
469,54286
470,54995
471,54997
472,55118
473,55765
474,58295
475,59315
476,59369
477,59784
478,60684
479,62849
480,65596
481,66297
482,68157
483,68358
484,69481
485,69524
486,69757
487,71535
488,72998
489,73017
490,76251
491,79702
492,81229
493,81564
494,85354
495,86142
496,87232
497,89774
498,90600
499,91500
500,91542
501,93510
502,93838
503,95167
504,519
505,1645
506,2006
507,2087
508,2380
509,2402
510,2533
511,2687
512,2826
513,3006
514,4643
515,6383
516,31696
517,33166
518,53953
519,60609
520,62374
521,63033
522,63853
523,65088
524,66156
525,67197
526,67799
527,67867
528,67923
529,68135
530,68319
531,2
532,10
533,19
534,21
535,44
536,95
537,161
538,208
539,225
540,231
541,292
542,317
543,339
544,367
545,432
546,539
547,553
548,586
549,587
550,597
551,736
552,1210
553,2011
554,2700
555,3082
556,3623
557,3751
558,3793
559,3977
560,5219
561,5254
562,5378
563,5944
564,5952
565,6539
566,33493
567,48394
568,60069
569,61160
570,70286
571,88140
572,90405
573,95510
574,96610
575,97938
576,101864
577,102125
578,102445
579,103335
580,106487
581,109487
582,110102
583,111759
584,112852
585,114180
586,114662
