movie_id,imdb_id,movie_title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1,114709,Toy Story,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,113497,Jumanji,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,113228,Grumpier Old Men,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,114885,Waiting to Exhale,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,113041,Father of the Bride Part II,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,113277,Heat,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,114319,Sabrina,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,112302,Tom and Huck,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,114576,Sudden Death,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,113189,GoldenEye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,112346,The American President,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,112896,Dracula: Dead and Loving It,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,112453,Balto,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,113987,Nixon,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15,112760,Cutthroat Island,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,112641,Casino,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,114388,Sense and Sensibility,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
18,113101,Four Rooms,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,112281,Ace Ventura: When Nature Calls,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,113845,Money Train,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,113161,Get Shorty,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,112722,Copycat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,112401,Assassins,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,114168,Powder,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
25,113627,Leaving Las Vegas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
26,114057,Othello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,114011,Now and Then,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,114117,Persuasion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,112682,La Cité des Enfants Perdus,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30,115012,摇啊摇，摇到外婆桥,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,112792,Dangerous Minds,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,114746,Twelve Monkeys,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
33,114952,"Guillaumet, les ailes du courage",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,112431,Babe,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35,112637,Carrington,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
36,112818,Dead Man Walking,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,112286,Across the Sea of Time,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
38,113442,It Takes Two,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
39,112697,Clueless,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40,112749,"Cry, the Beloved Country",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,114279,Richard III,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42,112819,Dead Presidents,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
43,114272,Restoration,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
44,113855,Mortal Kombat,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,114681,To Die For,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
46,113347,How To Make An American Quilt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
47,114369,Se7en,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48,114148,Pocahontas,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,114916,When Night Is Falling,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,114814,The Usual Suspects,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52,113819,Mighty Aphrodite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,110299,Lamerica,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
54,112499,The Big Green,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,113158,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,113321,Home for the Holidays,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
58,110877,Il postino,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,112714,Le confessionnal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
60,113419,The Indian in the Cupboard,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
61,116260,Eye for an Eye,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
62,113862,Mr. Holland's Opus,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
63,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,118002,Two If by Sea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,115683,Bio-Dome,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,116839,Lawnmower Man 2: Beyond Cyberspace,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,114753,Two Bits,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,113149,Gazon maudit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,113118,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,116367,From Dusk Till Dawn,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
71,113010,Fair Game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
72,113537,Kicking and Screaming,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
73,113828,Les misérables,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
74,115644,Bed of Roses,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
75,115676,Big Bully,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,114367,Screamers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
77,113973,Nico Icon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,112744,The Crossing Guard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
79,116731,The Juror,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
80,112445,بادکنک سفید,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81,114660,Things to Do in Denver When You're Dead,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,112379,Antonia,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,114039,Once Upon a Time... When We Were Colored,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
84,113612,Last Summer in the Hamptons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,112365,Angels and Insects,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
86,118158,White Squall,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,116151,Dunston Checks In,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,115697,Black Sheep,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,113972,Nick of Time,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,113490,The Journey of August King,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,117002,Mary Reilly,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
93,114825,Vampire in Brooklyn,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
94,115639,Beautiful Girls,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
95,115759,Broken Arrow,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
96,113403,A Midwinter's Tale,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,113247,La Haine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,111173,Shopping,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
99,113283,Heidi Fleiss: Hollywood Madam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,115907,City Hall,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
101,115734,Bottle Rocket,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,117102,Mr. Wrong,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,118040,Unforgettable,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
104,116483,Happy Gilmore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,112579,The Bridges of Madison County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
106,110251,Keiner liebt mich,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
107,117110,Muppet Treasure Island,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
